,description,tags,price,product_id,image
81,"Cactus de Cartier ring, 18K pink gold, set with 9 spinels and 5 brilliant-cut diamonds totaling 0.09 carats.","pink gold, spinels, diamonds",18500.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/14/69/51/2/1469512.png
82,"Cactus de Cartier ring, 18K yellow gold, set with 86 brilliant-cut diamonds totaling 2.03 carats.","yellow gold, diamonds",28400.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/16/49/51/4/1649514.png
83,"Cactus de Cartier ring, 18K yellow gold, emeralds, carnelians, set with a brilliant-cut diamond of 0.10 carats.","yellow gold, emeralds, carnelians, diamonds",74500.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/10/54/16/8/1054168.png
84,"Diabolo de Cartier ring, 18K yellow gold, set with 6 brilliant-cut diamonds totaling 0.40 carat.","yellow gold, diamonds",14800.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/10/54/34/6/1054346.png
85,"Cactus de Cartier ring, 18K yellow gold, set with 16 chrysoprases, 14 lapis lazulis and 36 brilliant-cut diamonds totaling 0.53 carats.","yellow gold, chrysoprase, lapis lazuli, diamonds",39900.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/16/43/46/7/1643467.png
86,"Cactus de Cartier wedding band, 18K yellow gold, set with 15 brilliant-cut diamonds totaling 0.32 carats.","yellow gold, diamonds",3500.0,6c44196e-e563-9bef-cf7c-3ad6150d4bb1,https://www.cartier.sg//content/dam/rcq/car/14/37/76/7/1437767.png
87,"Cactus de Cartier wedding band, 18K pink gold, set with 15 brilliant-cut diamonds totaling 0.3 carats.","pink gold, diamonds",3500.0,6c44196e-e563-9bef-cf7c-3ad6150d4bb1,https://www.cartier.sg//content/dam/rcq/car/14/37/77/1/1437771.png
88,"Cactus de Cartier wedding band, 18K white gold, set with 15 brilliant-cut diamonds totaling 0.32 carats.","white gold, diamonds",3750.0,6c44196e-e563-9bef-cf7c-3ad6150d4bb1,https://www.cartier.sg//content/dam/rcq/car/14/37/76/9/1437769.png
89,"Trinity ring, medium model, 18K white gold, 18K rose gold, 18K yellow gold, set with 144 brilliant-cut diamonds totaling 0.99 carats. Width: 4mm.","white gold, yellow gold, pink gold, diamonds",12400.0,b84cebdd-22a3-36eb-128a-4fdf2d8f1071,https://www.cartier.sg//content/dam/rcq/car/59/18/80/591880.png
90,"Trinity ring, medium model, 18K white gold, 18K rose gold, 18K yellow gold. Width: 3.53mm.","white gold, yellow gold, pink gold",1340.0,b84cebdd-22a3-36eb-128a-4fdf2d8f1071,https://www.cartier.sg//content/dam/rcq/car/58/99/65/589965.png
91,"Trinity ring, medium model, 18K white gold, 18K pink gold, 18K yellow gold, set with 432 brilliant-cut diamonds totaling 2.98 carats.","white gold, yellow gold, pink gold, diamonds",33500.0,b84cebdd-22a3-36eb-128a-4fdf2d8f1071,https://www.cartier.sg//content/dam/rcq/car/14/61/56/9/1461569.png
92,"Trinity wedding band, width 2.5 mm, 18K pink gold, 18K white gold, 18K yellow gold.","white gold, pink gold, yellow gold",920.0,65d5a9d6-19f7-9cd0-19d3-1527990c61f8,https://www.cartier.sg//content/dam/rcq/car/73/93/14/739314.png
93,"Trinity wedding band, width 3.5 mm, 18K pink gold, 18K white gold, 18K yellow gold.","white gold, yellow gold, pink gold",1290.0,65d5a9d6-19f7-9cd0-19d3-1527990c61f8,https://www.cartier.sg//content/dam/rcq/car/75/05/08/750508.png
94,"Trinity wedding band, width 4.8 mm, 18K pink gold, 18K white gold, 18K yellow gold.","white gold, yellow gold, pink gold",1770.0,65d5a9d6-19f7-9cd0-19d3-1527990c61f8,https://www.cartier.sg//content/dam/rcq/car/75/52/67/755267.png
95,"Trinity de Cartier wedding band, width 4.8 mm, 18K white gold.",white gold,1890.0,65d5a9d6-19f7-9cd0-19d3-1527990c61f8,https://www.cartier.sg//content/dam/rcq/car/14/37/81/3/1437813.png
96,"Trinity wedding band, width 3.5 mm, 18K pink gold, 18K white gold, 18K yellow gold, set with 53 brilliant-cut diamonds totaling 0.23 carat.","white gold, yellow gold, pink gold, diamonds",3950.0,65d5a9d6-19f7-9cd0-19d3-1527990c61f8,https://www.cartier.sg//content/dam/rcq/car/59/25/66/592566.png
97,"Trinity ring, small model, 18K white gold, 18K rose gold, 18K yellow gold. Width: 2.8mm.","white gold, yellow gold, pink gold",970.0,ff3fd735-54be-4cc6-6e2f-b68accd54307,https://www.cartier.sg//content/dam/rcq/car/59/22/77/592277.png
98,"Trinity ring, small model, 18K white gold, 18K pink gold, 18K yellow gold, set with 102 brilliant-cut diamonds totaling 0.46 carat. All-gold ring width: 2.8 mm. Paved ring width: 2.9 mm.","white gold, yellow gold, pink gold, diamonds",6450.0,ff3fd735-54be-4cc6-6e2f-b68accd54307,https://www.cartier.sg//content/dam/rcq/car/58/51/01/585101.png
99,"Trinity ring, small model, 18K white gold, 18K rose gold, 18K yellow gold, set with 300 brilliant-cut diamonds totaling 1.35 carats. Width: 2.9mm.","white gold, yellow gold, pink gold, diamonds",17700.0,ff3fd735-54be-4cc6-6e2f-b68accd54307,https://www.cartier.sg//content/dam/rcq/car/58/80/64/588064.png
100,"Trinity, medium model ring, 18K white gold, black ceramic. TTO ring width and 3.5mm ceramic ring","white gold, ceramic",1260.0,884d54af-ec66-3c58-4e2d-fb30d52bd0bd,https://www.cartier.sg//content/dam/rcq/car/56/73/40/567340.png
101,"Trinity ring, medium model, 18K white gold, 18K rose gold, 18K yellow gold, set with 5 brilliant-cut diamonds totaling 0.04 carats. Width: 3.5mm.","white gold, yellow gold, pink gold, diamonds",2320.0,ddadf377-46bc-9e65-4d4a-bd3fd4325b46,https://www.cartier.sg//content/dam/rcq/car/58/57/15/585715.png
